date;start;final;high;low
30.12.2014;9.883,10;9.805,55;9.886,78;9.805,55
29.12.2014;9.914,87;9.927,13;9.927,85;9.775,45
23.12.2014;9.887,24;9.922,11;9.922,11;9.848,06
22.12.2014;9.827,26;9.865,76;9.924,01;9.826,55
19.12.2014;9.901,26;9.786,96;9.901,26;9.688,66
18.12.2014;9.711,61;9.811,06;9.811,06;9.671,18
17.12.2014;9.455,74;9.544,43;9.589,25;9.429,40
16.12.2014;9.366,56;9.563,89;9.567,09;9.219,05
15.12.2014;9.599,82;9.334,01;9.678,26;9.330,99
12.12.2014;9.794,20;9.594,73;9.799,65;9.586,22
11.12.2014;9.770,66;9.862,53;9.907,82;9.763,41
10.12.2014;9.859,78;9.799,73;9.909,39;9.775,39
09.12.2014;9.904,58;9.793,71;9.951,66;9.786,38
08.12.2014;10.060,91;10.014,99;10.084,95;10.014,99
05.12.2014;9.931,96;10.087,12;10.093,03;9.929,47
04.12.2014;9.998,85;9.851,35;10.083,74;9.835,42
03.12.2014;9.978,89;9.971,79;9.993,85;9.930,53
02.12.2014;9.983,79;9.934,08;10.038,21;9.910,21
01.12.2014;9.915,74;9.963,51;9.979,08;9.906,42
28.11.2014;9.990,70;9.980,85;9.990,70;9.902,40
27.11.2014;9.934,78;9.974,87;9.992,67;9.920,86
26.11.2014;9.894,60;9.915,56;9.942,67;9.868,35
25.11.2014;9.790,03;9.861,21;9.921,46;9.787,26
24.11.2014;9.722,31;9.785,54;9.832,41;9.711,77
21.11.2014;9.521,24;9.732,55;9.736,14;9.508,17
20.11.2014;9.460,40;9.483,97;9.487,69;9.382,23
19.11.2014;9.462,05;9.472,80;9.521,73;9.439,16
18.11.2014;9.323,75;9.456,53;9.461,53;9.323,52
17.11.2014;9.162,27;9.306,35;9.331,32;9.161,60
14.11.2014;9.272,36;9.252,94;9.284,13;9.184,46
13.11.2014;9.260,53;9.248,51;9.311,00;9.170,28
12.11.2014;9.339,68;9.210,96;9.359,37;9.189,63
11.11.2014;9.374,36;9.369,03;9.400,90;9.324,77
10.11.2014;9.233,87;9.351,87;9.351,87;9.222,57
07.11.2014;9.406,16;9.291,83;9.414,32;9.239,11
06.11.2014;9.284,97;9.377,41;9.467,36;9.268,63
05.11.2014;9.238,07;9.315,48;9.329,07;9.226,34
04.11.2014;9.244,09;9.166,47;9.317,92;9.148,78
03.11.2014;9.305,73;9.251,70;9.343,64;9.236,18
31.10.2014;9.283,40;9.326,87;9.339,33;9.217,00
30.10.2014;9.091,13;9.114,84;9.146,95;8.899,90
29.10.2014;9.139,00;9.082,81;9.157,63;9.072,64
28.10.2014;8.983,06;9.068,19;9.077,89;8.968,59
27.10.2014;9.080,80;8.902,61;9.085,64;8.837,66
24.10.2014;9.008,60;8.987,80;9.044,85;8.955,59
23.10.2014;8.873,54;9.047,31;9.068,12;8.820,89
22.10.2014;8.934,54;8.940,14;8.957,16;8.861,44
21.10.2014;8.693,06;8.886,96;8.889,78;8.644,71
20.10.2014;8.819,26;8.717,76;8.834,73;8.682,59
17.10.2014;8.629,16;8.850,27;8.850,27;8.588,42
