date;start;final;high;low
31.12.2014;17.987,66;17.823,07;18.043,22;17.820,88
30.12.2014;18.035,02;17.983,07;18.035,02;17.959,70
29.12.2014;18.046,58;18.038,23;18.073,04;18.021,57
26.12.2014;18.038,30;18.053,71;18.103,45;18.038,30
24.12.2014;18.035,73;18.030,21;18.086,24;18.027,78
23.12.2014;17.971,51;18.024,17;18.069,22;17.970,16
22.12.2014;17.812,25;17.959,44;17.962,78;17.812,25
19.12.2014;17.778,02;17.804,80;17.874,03;17.746,55
18.12.2014;17.367,85;17.778,15;17.778,40;17.367,85
17.12.2014;17.069,16;17.356,87;17.389,30;17.069,16
16.12.2014;17.173,07;17.068,87;17.427,44;17.067,59
15.12.2014;17.285,74;17.180,84;17.403,54;17.115,28
12.12.2014;17.590,05;17.280,83;17.590,05;17.280,83
11.12.2014;17.534,30;17.596,34;17.758,51;17.534,30
10.12.2014;17.797,99;17.533,15;17.797,99;17.508,10
09.12.2014;17.847,37;17.801,20;17.847,37;17.629,57
08.12.2014;17.954,94;17.852,48;17.960,56;17.804,28
05.12.2014;17.903,05;17.958,79;17.991,19;17.903,05
04.12.2014;17.910,02;17.900,10;17.937,96;17.814,81
03.12.2014;17.880,90;17.912,62;17.924,15;17.855,59
02.12.2014;17.778,85;17.879,55;17.897,05;17.778,85
01.12.2014;17.827,27;17.776,80;17.827,27;17.726,55
28.11.2014;17.830,55;17.828,24;17.893,42;17.807,78
26.11.2014;17.812,25;17.827,75;17.833,76;17.791,16
25.11.2014;17.819,05;17.814,94;17.854,73;17.790,89
24.11.2014;17.812,63;17.817,90;17.855,27;17.793,19
21.11.2014;17.721,02;17.810,06;17.894,83;17.721,02
20.11.2014;17.677,32;17.719,00;17.720,44;17.603,89
19.11.2014;17.685,51;17.685,73;17.712,26;17.624,50
18.11.2014;17.643,09;17.687,82;17.735,71;17.642,03
17.11.2014;17.631,85;17.647,75;17.675,07;17.606,81
14.11.2014;17.653,11;17.634,74;17.664,15;17.613,20
13.11.2014;17.618,69;17.652,79;17.705,48;17.583,88
12.11.2014;17.604,75;17.612,20;17.626,71;17.536,17
11.11.2014;17.615,64;17.614,90;17.638,21;17.584,94
10.11.2014;17.568,98;17.613,74;17.621,87;17.547,51
07.11.2014;17.558,58;17.573,93;17.575,33;17.493,37
06.11.2014;17.491,66;17.554,47;17.560,31;17.440,35
05.11.2014;17.385,76;17.484,53;17.486,59;17.385,76
04.11.2014;17.368,81;17.383,84;17.397,23;17.278,36
03.11.2014;17.390,90;17.366,24;17.410,65;17.339,85
31.10.2014;17.208,78;17.390,52;17.395,54;17.208,78
30.10.2014;16.968,14;17.195,42;17.223,96;16.920,76
29.10.2014;17.005,07;16.974,31;17.065,50;16.895,38
28.10.2014;16.825,19;17.005,75;17.006,45;16.825,19
27.10.2014;16.796,10;16.817,94;16.836,98;16.729,83
24.10.2014;16.677,04;16.805,41;16.811,71;16.649,72
23.10.2014;16.468,07;16.677,90;16.767,52;16.468,07
22.10.2014;16.615,26;16.461,32;16.653,89;16.459,85
21.10.2014;16.406,03;16.614,81;16.620,78;16.405,77
20.10.2014;16.373,15;16.399,67;16.401,63;16.260,54
17.10.2014;16.118,39;16.380,41;16.427,38;16.118,39
16.10.2014;16.137,14;16.117,24;16.211,12;15.935,22
15.10.2014;16.313,30;16.141,74;16.313,30;15.855,12
14.10.2014;16.321,90;16.315,19;16.463,67;16.273,64
13.10.2014;16.535,43;16.321,07;16.602,41;16.310,47
10.10.2014;16.654,88;16.544,10;16.757,60;16.543,91
09.10.2014;16.989,37;16.659,25;16.989,37;16.649,04
08.10.2014;16.718,65;16.994,22;17.006,91;16.663,26
07.10.2014;16.988,25;16.719,39;16.988,25;16.715,79
06.10.2014;17.010,34;16.991,91;17.099,39;16.930,38
03.10.2014;16.802,20;17.009,69;17.027,84;16.802,20
02.10.2014;16.808,27;16.801,05;16.857,25;16.674,04
01.10.2014;17.040,46;16.804,71;17.041,16;16.776,13
30.09.2014;17.070,45;17.042,90;17.145,10;17.017,11
29.09.2014;17.107,69;17.071,22;17.107,69;16.934,43
26.09.2014;16.948,62;17.113,15;17.148,15;16.948,11
25.09.2014;17.204,86;16.945,80;17.204,86;16.945,80
24.09.2014;17.056,64;17.210,06;17.226,60;17.033,93
23.09.2014;17.165,91;17.055,87;17.171,88;17.055,87
22.09.2014;17.271,71;17.172,68;17.277,88;17.159,36
19.09.2014;17.267,21;17.279,74;17.350,64;17.257,46
18.09.2014;17.163,73;17.265,99;17.275,37;17.163,73
17.09.2014;17.131,01;17.156,85;17.221,11;17.089,01
16.09.2014;17.027,16;17.131,97;17.167,05;16.985,55
15.09.2014;16.988,76;17.031,14;17.051,85;16.951,38
12.09.2014;17.044,05;16.987,51;17.044,05;16.937,67
11.09.2014;17.057,41;17.049,00;17.057,41;16.983,88
10.09.2014;17.016,05;17.068,71;17.080,27;16.974,57
09.09.2014;17.110,39;17.013,87;17.111,55;16.993,29
08.09.2014;17.131,71;17.111,42;17.137,88;17.079,17
